School District,Distance to Subway (km),House Area (sqm),Room Count,Plot Ratio,Parking Ratio,House Age (years),House Price (CNY),Cost Performance Level
5,7.08,86.55,2,1.28,2.68,19,1760080.0,2
8,4.56,112.74,3,1.99,3.94,34,2561170.0,4
10,1.1,157.91,5,3.21,2.87,22,4117280.0,5
9,7.1,64.68,2,3.37,4.87,24,1409970.0000000002,4
9,0.41,36.27,1,1.36,0.5,3,1032390.0000000001,5
1,8.71,180.32,6,2.82,4.11,1,4005440.0,1
9,1.47,140.46,4,0.83,2.53,1,3518270.0,5
7,1.36,144.27,4,0.58,2.61,24,3532120.0,5
9,1.84,76.93,2,2.42,2.6,46,1860170.0000000002,5
8,9.61,149.5,4,1.29,1.63,22,3233470.0,2
1,6.96,131.01,4,0.78,1.62,20,2757670.0,1
8,8.03,56.63,1,3.05,3.16,44,1185870.0,4
8,4.04,176.97,5,2.24,0.22,24,4163510.0,4
3,3.43,126.35,4,3.29,2.94,26,2792290.0,2
1,2.42,104.16,3,2.82,3.62,10,2513260.0,2
8,4.86,104.88,3,3.05,1.78,13,2403870.0,4
3,5.56,39.39,1,1.58,1.09,16,793400.0,2
3,6.35,143.73,4,1.42,1.07,14,3041050.0,1
1,2.65,130.47,4,2.6,0.41,45,3108500.0,1
5,9.49,112.24,3,1.2,0.45,50,2355740.0,1
10,1.78,171.14,5,3.35,0.83,30,4435809.999999999,5
7,9.66,64.65,2,2.33,0.1,33,1336870.0,2
10,0.25,96.13,3,1.29,1.33,35,2644750.0,5
9,4.86,86.0,2,2.69,1.53,39,1901370.0,5
7,3.4,108.85,3,3.81,4.98,43,2441850.0,4
9,4.55,122.7,4,0.79,4.96,12,2840530.0,5
8,5.75,137.2,4,0.88,0.94,17,2979199.9999999995,4
2,4.41,106.12,3,3.45,1.07,16,2341330.0,1
1,4.21,84.91,2,0.88,2.46,44,1757150.0,1
7,7.35,187.44,6,0.64,0.74,43,4180520.0,2
7,6.89,216.47,6,1.72,2.52,38,4177250.0,2
8,8.35,125.73,4,2.13,2.0,27,2729200.0,3
5,2.57,89.73,2,2.49,1.62,25,2083540.0,4
3,6.13,179.02,5,2.28,4.11,47,3938380.0,1
8,5.89,62.13,2,3.7,4.14,13,1338180.0,4
6,3.76,106.61,3,3.19,4.94,36,2380110.0,4
3,4.91,92.16,3,3.94,1.12,10,2046820.0,2
1,3.21,73.62,2,2.17,4.44,31,1535730.0,2
3,1.5,108.8,3,0.8,2.69,23,2623780.0,3
5,2.22,85.43,2,3.84,2.96,30,1980970.0000000002,4
3,1.14,120.51,4,0.51,4.48,39,2897690.0,3
1,6.86,121.09,4,3.22,4.71,40,2533090.0,1
5,6.64,95.15,3,0.61,3.63,49,2004800.0000000002,2
10,9.51,105.18,3,3.16,1.74,7,2381100.0,4
7,7.32,110.77,3,3.78,2.45,38,2373290.0,3
7,0.62,152.39,5,1.86,3.08,7,4205830.0,5
9,8.85,114.06,3,1.34,4.14,46,2495200.0,3
10,8.64,152.99,5,1.29,3.29,30,3530070.0,3
10,4.49,143.43,4,2.22,1.83,18,3322900.0,5
3,5.9,142.86,4,1.1,2.09,35,3004140.0000000005,1
7,9.76,175.51,5,2.86,0.25,38,3914860.0,1
1,5.37,75.22,2,1.79,4.62,31,1494850.0,1
4,9.06,101.07,3,1.63,0.44,20,2140720.0,1
4,0.92,190.53,6,2.11,2.9,22,5180000.0,3
5,1.99,109.71,3,2.4,4.36,35,2653360.0,4
7,4.46,20.0,1,1.0,2.1,14,483200.0,5
7,5.89,111.88,3,2.98,4.0,1,2437500.0,3
4,8.18,125.4,4,3.59,4.02,11,2670850.0,1
7,9.88,20.0,1,1.47,0.3,37,436130.0,3
3,3.95,173.36,5,1.13,2.06,5,4026270.0000000005,2
6,0.57,91.45,3,3.16,3.46,45,2400460.0,5
2,8.03,133.14,4,1.14,2.11,37,2791019.9999999995,1
10,6.08,110.96,3,0.64,2.73,0,2513980.0,5
9,2.07,68.47,2,2.67,2.97,37,1675080.0,5
5,5.0,77.18,2,1.34,0.76,49,1615960.0000000002,3
6,7.45,82.6,2,1.1,2.06,25,1689020.0,3
4,7.73,163.43,5,3.94,0.14,47,3593800.0,1
10,5.05,114.1,3,1.52,0.75,22,2553080.0,5
7,3.12,99.13,3,3.66,2.56,0,2266320.0,4
9,9.74,82.62,2,1.12,2.87,20,1771020.0,3
7,6.67,167.85,5,3.37,0.73,18,3766790.0,3
1,4.14,178.57,5,2.26,3.78,28,4113410.0,1
1,2.88,167.39,5,0.78,1.86,49,4167689.9999999995,1
9,7.34,139.7,4,3.07,4.6,25,3058829.9999999995,4
9,2.5,131.59,4,3.62,1.94,33,3269420.0,5
4,1.8,71.36,2,1.07,0.75,50,1625710.0,4
9,5.35,110.17,3,3.04,3.79,16,2441110.0,5
3,2.97,92.65,3,2.06,2.84,17,2241220.0,3
7,6.33,46.98,1,3.14,1.93,31,983319.9999999999,4
6,1.27,162.28,5,3.0,1.78,3,4128560.0,4
8,6.58,92.17,3,0.59,0.75,29,2016480.0,4
9,2.9,167.84,5,1.13,1.7,30,4317270.0,5
5,0.1,155.27,5,2.15,0.15,17,4232440.0,4
1,1.36,142.27,4,3.77,2.51,4,3435730.0,2
3,9.34,144.52,4,1.7,4.48,31,3047180.0,1
10,8.69,95.39,3,2.7,3.98,28,2159450.0,4
8,2.41,194.31,6,0.54,0.14,11,4970490.0,4
6,7.81,121.73,4,2.99,4.41,14,2617160.0,2
8,6.12,132.08,4,2.61,2.26,14,2875590.0000000005,4
9,9.71,94.04,3,3.0,0.95,34,2078740.0,3
4,3.8,82.75,2,3.67,3.76,34,1741600.0,3
1,6.85,139.09,4,1.01,1.61,42,2905100.0,1
1,0.73,128.7,4,1.42,1.27,13,3358319.9999999995,2
10,4.02,88.43,2,3.99,0.81,38,1990660.0000000002,5
4,9.64,62.46,2,1.05,2.43,17,1270010.0,1
7,5.44,69.2,2,3.02,0.47,37,1423920.0,4
2,2.95,167.85,5,3.04,3.93,21,4214070.0,1
3,1.29,95.47,3,2.89,2.35,37,2287090.0,3
1,7.06,106.44,3,1.3,2.23,10,2247400.0,1
5,6.48,178.01,5,1.25,0.01,2,3971990.0,2
1,3.8,75.11,2,2.83,4.09,13,1583660.0,1
8,9.51,90.92,3,1.15,2.46,43,1979090.0,3
1,0.32,89.25,2,2.82,2.2,24,2222830.0,3
1,3.11,184.72,6,2.22,3.81,13,4274960.0,1
2,9.22,199.74,6,1.85,0.31,46,4386050.0,1
2,3.28,150.06,5,1.55,1.83,30,3457490.0,1
6,2.6,151.34,5,3.82,2.88,24,3835440.0,4
7,5.39,96.79,3,2.28,2.3,40,2078910.0,4
5,8.26,197.89,6,2.46,0.91,18,4398940.0,1
1,1.12,130.71,4,3.82,1.5,11,3149220.0,2
1,9.44,154.12,5,2.79,1.5,6,3413850.0,1
3,7.97,115.78,3,3.85,4.96,48,2420450.0,1
2,1.89,109.28,3,0.87,1.63,13,2636110.0,2
5,7.15,186.52,6,3.46,1.03,28,4138040.0,1
10,3.91,141.59,4,1.67,4.11,46,3259530.0,5
6,4.08,178.06,5,3.34,2.11,13,4157260.0,3
7,7.85,130.21,4,3.49,2.22,22,2802360.0,3
4,9.63,86.07,2,1.45,2.74,50,1709429.9999999998,1
7,1.35,96.67,3,1.93,2.98,50,2358110.0,5
8,4.26,124.12,4,3.04,2.95,13,2834500.0,4
1,4.86,94.94,3,0.85,0.17,22,2085170.0,1
6,3.83,75.7,2,3.14,4.09,7,1646740.0,4
8,3.7,168.06,5,0.89,0.97,12,3973430.0,4
5,0.62,98.21,3,3.7,1.46,35,2566679.9999999995,4
4,6.89,125.53,4,1.47,0.87,43,2637400.0,1
2,4.42,131.85,4,2.51,3.84,0,2934870.0,1
6,2.03,96.47,3,0.91,2.92,36,2348210.0,4
6,8.18,178.03,5,1.44,3.78,25,3971780.0,1
1,8.05,75.31,2,1.91,3.27,3,1521830.0,1
9,4.92,130.47,4,2.2,0.52,15,2998180.0,5
6,3.05,129.84,4,0.5,1.51,24,2904000.0,4
3,6.42,117.83,3,3.61,2.54,18,2488900.0,1
4,2.95,68.12,2,0.53,1.52,19,1584270.0,3
4,2.44,154.83,5,3.21,1.04,25,3893620.0000000005,3
3,7.33,149.74,4,2.15,4.35,50,3137090.0,1
10,0.5,92.98,3,2.33,3.74,31,2570630.0,5
3,1.04,148.3,4,1.23,1.73,2,3595430.0000000005,3
3,0.17,135.0,4,2.63,3.83,47,3504030.0,3
4,1.61,68.78,2,2.38,3.14,6,1613840.0,4
7,0.78,85.84,2,1.07,0.02,31,2192970.0,5
4,9.96,165.53,5,1.33,1.9,4,3689130.0,1
9,2.96,132.38,4,0.73,1.45,20,3303290.0,5
1,1.58,97.43,3,0.73,1.09,29,2329770.0,2
8,2.49,85.66,2,0.55,1.26,19,2057150.0,5
7,9.37,99.38,3,1.27,4.71,28,2151130.0,2
2,5.25,102.22,3,2.88,2.43,23,2149600.0,1
8,3.71,86.16,2,1.61,4.24,0,1920230.0,5
1,8.75,50.33,1,1.7,1.07,42,969040.0,1
9,4.01,165.6,5,0.96,0.87,24,3934580.0,5
9,3.42,158.83,5,2.51,4.44,26,3782460.0000000005,5
2,2.15,69.07,2,1.7,2.48,24,1586869.9999999998,3
7,3.84,125.45,4,2.87,4.48,20,2834990.0,4
10,3.24,83.91,2,3.1,0.32,16,1917650.0,5
3,6.81,109.54,3,2.55,4.58,27,2310950.0,1
7,2.97,106.21,3,1.47,2.08,31,2604730.0,4
10,5.81,102.89,3,2.28,0.78,43,2295970.0,5
9,0.75,200.12,6,1.38,3.42,49,4913340.0,5
4,1.99,102.39,3,3.66,3.98,33,2467660.0,3
1,4.13,87.67,2,3.18,0.24,21,1831370.0,1
2,9.38,89.5,2,2.23,4.94,41,1775650.0,1
1,3.83,161.75,5,3.88,3.49,18,3734350.0,1
5,6.67,53.92,1,2.41,1.61,47,1066210.0,3
5,2.63,89.5,2,1.65,0.76,7,2095370.0,4
7,1.36,177.87,5,0.83,1.96,1,4542840.0,4
9,0.68,129.76,4,2.4,1.1,4,3513560.0,5
9,3.12,127.68,4,3.51,2.47,27,2927390.0,5
3,1.66,205.29,6,3.53,3.91,3,4563670.0,2
3,1.82,129.85,4,2.62,3.3,35,3121380.0,3
3,7.63,91.67,3,1.88,2.18,0,1958550.0,1
4,0.26,108.72,3,2.78,0.59,14,2850120.0,4
8,5.62,74.58,2,3.17,4.79,12,1590010.0,4
6,3.86,170.24,5,1.94,1.35,30,3960280.0,3
8,5.11,142.98,4,2.17,1.39,16,3101190.0,4
1,5.67,164.98,5,2.88,3.23,5,3657140.0,1
8,3.2,168.52,5,3.57,3.85,23,3976090.0,4
4,3.02,103.43,3,3.27,4.92,12,2309030.0,3
1,7.36,82.21,2,0.58,4.85,20,1647319.9999999998,1
8,8.73,117.93,3,0.94,4.57,23,2570730.0,3
4,2.01,85.09,2,3.48,2.18,21,1970950.0,4
6,1.07,126.6,4,3.42,0.83,28,3077640.0,4
8,8.99,165.28,5,1.86,2.92,23,3736140.0,2
4,3.56,113.27,3,2.54,0.09,43,2485580.0,3
3,5.56,126.0,4,3.67,0.98,11,2669290.0,1
9,3.66,116.25,3,3.69,0.01,19,2673830.0,5
3,1.35,152.11,5,3.24,0.9,41,3801310.0000000005,3
9,5.93,93.29,3,1.23,2.37,33,2068600.0000000002,5
2,5.3,32.14,1,3.06,1.97,14,643680.0,2
2,2.11,138.83,4,0.85,1.85,50,3313770.0000000005,2
2,4.57,159.51,5,3.63,4.15,3,3704400.0,1
6,7.99,137.85,4,1.02,3.37,13,2956570.0,2
3,5.95,94.39,3,2.82,4.68,0,2019730.0,2
9,1.06,74.6,2,2.64,2.23,32,1819620.0,5
4,5.53,139.78,4,3.22,1.36,49,2929880.0,2
1,7.06,125.66,4,2.43,0.61,46,2615650.0,1
4,7.95,114.97,3,0.71,3.36,42,2417380.0,1
1,6.33,192.9,6,2.97,4.21,49,4234250.0,1
5,1.61,82.13,2,1.84,0.92,28,1904990.0,4
4,7.13,191.0,6,1.62,4.39,9,4254160.0,1
8,6.81,121.27,4,3.97,2.63,35,2626960.0,3
8,0.34,46.58,1,2.57,0.72,13,1249370.0,5
7,4.18,112.83,3,2.99,3.21,21,2548690.0,4
3,3.4,158.38,5,2.34,2.6,49,3637600.0,2
1,6.73,105.4,3,3.19,0.14,32,2197490.0,1
1,2.24,61.01,2,3.13,2.0,27,1391100.0,2
3,5.95,113.42,3,2.8,3.92,6,2411860.0,1
6,9.14,85.71,2,3.99,2.78,35,1739769.9999999998,2
7,8.0,139.67,4,2.11,1.41,35,2987779.9999999995,2
6,9.22,150.94,5,2.97,4.64,49,3351990.0,1
6,9.79,77.75,2,3.29,1.19,40,1573090.0,2
6,0.21,91.77,3,1.82,1.26,33,2417720.0,5
3,6.27,150.27,5,2.1,1.77,36,3312380.0,1
6,4.19,85.65,2,3.89,4.47,5,1857700.0,4
8,8.61,76.71,2,0.61,2.54,34,1608669.9999999998,3
2,2.59,72.85,2,1.67,3.41,26,1673700.0,2
5,9.81,134.08,4,2.2,4.88,29,2848240.0000000005,1
1,6.18,132.37,4,0.51,3.92,31,2780100.0,1
1,7.96,92.64,3,3.65,0.86,18,1944510.0,1
5,0.95,120.2,4,1.5,3.94,21,3164580.0,4
3,1.92,181.09,6,1.4,3.74,20,4559330.0,2
4,7.61,81.04,2,3.37,1.16,4,1649750.0000000002,2
3,0.32,41.93,1,1.47,1.63,20,1051040.0,4
1,8.19,138.2,4,2.8,3.55,40,2890499.9999999995,1
1,0.24,115.58,3,3.38,1.19,19,3004080.0,2
5,6.61,91.6,3,3.27,1.04,37,1934409.9999999998,2
6,3.71,146.08,4,3.24,3.52,30,3256560.0000000005,3
3,6.15,153.57,5,0.81,4.4,36,3391530.0,1
9,6.99,31.67,1,0.78,0.38,5,757380.0,5
5,3.49,93.9,3,1.57,2.23,30,2087690.0000000002,3
8,1.17,212.7,6,0.63,3.04,46,4762850.0,5
1,0.79,143.34,4,2.25,3.38,42,3713350.0,2
5,5.93,147.04,4,1.88,4.98,23,3126920.0,2
3,5.25,166.92,5,2.45,3.41,17,3700609.9999999995,1
1,7.45,120.68,4,1.55,3.1,28,2534930.0,1
4,5.15,151.87,5,2.2,4.95,50,3347840.0,2
5,4.28,148.72,4,1.67,0.3,11,3313770.0,3
7,4.04,141.56,4,1.18,0.37,11,3191880.0,4
1,0.36,107.12,3,2.77,2.8,28,2778950.0,2
3,3.42,126.88,4,2.86,1.79,6,2822080.0,2
2,9.76,96.47,3,3.4,0.48,15,2032430.0,1
9,8.75,120.51,4,3.56,1.53,11,2663210.0,3
10,3.36,73.26,2,2.97,3.37,20,1696230.0,5
6,5.92,88.38,2,2.91,4.4,3,1829490.0,3
10,8.49,108.71,3,0.7,0.47,41,2421150.0,4
3,4.47,82.25,2,0.88,2.7,16,1741770.0,2
8,0.28,99.8,3,3.34,1.48,27,2676420.0,5
8,0.84,113.44,3,1.32,3.34,30,3033800.0,5
2,5.15,136.09,4,1.74,2.75,46,2844650.0,1
6,9.7,157.97,5,1.01,4.63,7,3550590.0,1
7,6.96,101.45,3,1.18,0.19,45,2168650.0,3
2,0.8,173.4,5,3.21,2.35,49,4668290.0,2
10,1.97,157.54,5,1.42,0.96,25,4103000.0,5
2,7.74,140.16,4,2.07,2.68,39,2936650.0,1
10,8.43,126.15,4,1.03,4.27,45,2795660.0,4
1,6.22,132.76,4,2.87,4.56,47,2771210.0,1
8,6.48,167.48,5,3.05,1.99,30,3774490.0,3
1,0.38,168.94,5,1.77,4.06,18,4578730.0,2
9,8.3,173.4,5,3.25,1.4,6,3957350.0,3
6,7.9,121.65,4,1.34,0.03,48,2574370.0,2
7,2.66,142.2,4,2.92,4.28,4,3503439.9999999995,4
10,7.12,173.74,5,3.05,0.6,12,3997430.0,4
7,2.23,95.05,3,3.89,0.09,17,2344490.0,5
10,0.5,107.26,3,1.31,1.77,17,2952990.0,5
3,2.09,120.64,4,0.83,1.9,50,2884330.0,3
2,1.87,155.98,5,1.42,0.39,49,3883860.0,2
9,3.44,156.61,5,0.93,4.07,19,3739240.0000000005,5
8,4.24,110.77,3,1.09,2.03,48,2500910.0,4
10,5.13,59.66,1,1.67,2.45,22,1338430.0,5
7,4.82,129.85,4,1.95,1.32,35,2911390.0,4
9,2.78,83.27,2,3.66,2.56,48,2002670.0,5
4,0.39,60.4,2,1.18,3.83,50,1500480.0,4
4,6.09,69.45,2,3.9,4.53,39,1389160.0,2
1,4.02,133.06,4,3.34,4.85,32,2925680.0,1
8,3.06,174.44,5,3.59,2.13,6,4125790.0,4
3,8.68,121.56,4,3.75,4.95,39,2555910.0,1
7,7.49,128.46,4,3.14,1.47,4,2782460.0,3
2,8.59,167.32,5,3.26,0.03,31,3680840.0,1
2,5.0,58.22,1,2.03,3.84,8,1229270.0,2
7,1.4,140.81,4,2.29,0.89,29,3438930.0,5
6,6.99,119.54,3,3.76,0.26,31,2540100.0,2
3,2.14,142.64,4,1.82,4.62,38,3428779.9999999995,2
9,4.47,100.66,3,0.65,3.96,3,2357790.0,5
10,0.74,87.28,2,3.17,0.51,24,2329850.0,5
6,8.27,125.62,4,2.51,3.88,21,2691270.0,2
10,1.35,185.97,6,3.35,4.22,7,4841340.0,5
10,9.04,154.44,5,0.76,4.53,1,3593980.0,3
6,8.66,99.69,3,2.67,2.72,36,2124260.0,2
1,4.7,66.36,2,1.37,3.52,34,1379230.0,1
4,7.47,52.72,1,3.66,3.81,36,1046360.0,2
10,6.23,172.64,5,0.88,3.44,21,3972079.9999999995,4
6,8.05,81.8,2,3.45,3.23,0,1698010.0,2
6,4.37,106.98,3,0.81,2.74,38,2384230.0,3
5,7.88,172.85,5,0.59,2.4,41,3824910.0,1
1,4.68,55.44,1,1.32,4.98,47,1129880.0,1
8,9.42,179.69,5,1.67,1.69,32,4041890.0,2
5,4.92,109.85,3,2.69,0.44,48,2415890.0,3
5,4.68,74.06,2,0.96,3.83,3,1602960.0,3
7,7.87,110.11,3,2.03,1.07,47,2349420.0,3
4,8.23,91.1,3,1.21,2.66,8,1948209.9999999998,1
6,5.59,137.63,4,3.49,0.48,7,2949700.0,3
4,1.88,94.07,3,0.66,3.1,50,2252220.0,3
3,4.73,43.53,1,1.75,4.72,21,921820.0,2
7,9.68,111.18,3,2.71,3.61,48,2375290.0,2
8,7.55,65.74,2,3.7,1.07,41,1376240.0,4
4,8.13,128.17,4,3.54,4.86,48,2693749.9999999995,1
2,0.42,72.51,2,3.63,1.54,20,1811200.0,3
10,4.73,100.48,3,0.72,2.18,47,2346200.0,5
3,6.5,127.3,4,3.44,2.49,40,2670840.0,1
1,8.32,111.5,3,3.23,4.95,27,2340170.0,1
8,0.59,130.02,4,3.66,0.34,36,3455540.0,5
3,8.54,147.21,4,1.59,3.48,1,3131780.0,1
10,5.53,73.68,2,3.69,1.81,45,1602530.0000000002,5
7,2.05,117.42,3,1.91,0.39,16,2884950.0,5
10,3.24,20.0,1,2.72,4.68,30,565640.0,5
5,2.89,129.89,4,1.98,2.95,44,3131279.9999999995,3
10,5.36,107.97,3,2.0,3.77,12,2439910.0,5
5,0.61,80.66,2,2.41,1.2,44,2016490.0,5
7,1.67,132.63,4,1.75,3.81,17,3260990.0,5
9,8.15,166.91,5,3.27,4.14,23,3803030.0,3
5,1.41,100.96,3,2.72,2.15,30,2443620.0,4
1,2.41,82.21,2,2.91,2.86,32,1875639.9999999998,2
10,4.59,126.6,4,1.31,4.86,30,2947610.0,5
10,5.22,66.58,2,3.89,4.23,26,1484170.0,5
1,7.66,93.58,3,2.81,2.22,35,1950810.0,1
2,4.53,168.9,5,1.19,3.32,20,3904150.0,1
6,7.92,122.49,4,3.13,3.92,4,2642000.0,2
9,6.22,44.82,1,1.11,0.12,10,1014530.0,5
8,1.22,48.12,1,0.72,2.94,33,1177920.0,5
5,1.65,126.48,4,2.35,4.92,33,3064010.0,4
1,4.43,154.5,5,2.44,4.74,47,3542540.0,1
7,4.03,55.3,1,1.16,4.16,2,1235460.0,5
5,7.46,137.99,4,1.72,0.53,5,2946130.0,2
6,5.85,173.21,5,3.81,4.97,19,3871750.0,2
7,3.94,195.51,6,1.5,3.05,3,4597330.0,3
3,1.79,133.25,4,1.04,1.11,36,3199180.0,3
10,2.35,140.27,4,3.97,3.37,38,3515250.0,5
3,5.8,34.67,1,1.56,4.28,6,715400.0,2
5,4.29,203.99,6,2.88,0.56,16,4126040.0,2
6,5.2,96.98,3,1.31,4.58,37,2071430.0,3
9,1.79,82.66,2,2.43,4.6,35,2006950.0,5
5,6.66,109.79,3,1.85,0.07,33,2319880.0,2
1,8.54,180.47,6,3.87,4.5,5,4004470.0,1
4,2.65,208.32,6,2.01,4.73,38,4606490.0,2
5,4.97,125.02,4,2.54,0.19,1,2801280.0,3
10,9.76,159.92,5,3.81,1.47,17,3689369.9999999995,3
10,3.4,121.73,4,3.96,1.87,41,2820840.0,5
5,5.99,78.49,2,0.86,1.74,26,1590420.0,3
7,0.99,179.07,5,3.42,3.8,38,4895070.0,4
4,6.1,95.11,3,1.84,1.79,40,1998050.0,2
1,0.99,181.42,6,2.58,4.78,50,4889319.999999999,1
5,9.6,171.94,5,1.81,4.97,18,3831810.0,1
7,7.19,144.56,4,1.9,1.58,31,3095020.0,3
10,7.9,193.16,6,1.06,2.54,23,4424540.0,3
10,7.07,209.29,6,2.5,2.79,33,4140590.0,4
6,5.94,112.99,3,2.41,2.9,24,2416180.0,3
5,4.55,87.65,2,1.16,1.87,23,1864230.0,3
4,8.6,45.43,1,2.4,0.83,24,912860.0,1
2,9.57,209.79,6,3.91,0.27,11,4010640.0,1
4,5.04,102.41,3,3.0,0.53,29,2158670.0,2
10,9.32,165.4,5,2.18,4.51,50,3784640.0,3
10,5.87,90.35,3,3.71,1.4,5,2070439.9999999998,5
3,5.43,181.53,6,2.51,0.38,29,4008910.0,1
10,4.6,92.0,3,0.97,3.12,32,2176270.0,5
1,2.17,72.33,2,2.42,0.38,14,1661930.0,2
8,0.14,111.66,3,1.13,0.35,28,2983730.0,5
5,2.49,98.73,3,3.19,3.11,50,2371550.0,4
4,5.15,143.85,4,3.89,2.96,13,3053880.0,2
8,3.86,117.94,3,1.76,0.21,24,2678340.0,5
7,4.54,145.11,4,2.02,2.3,44,3240000.0000000005,4
2,9.81,108.36,3,1.98,2.18,4,2297940.0,1
1,3.57,93.4,3,1.5,2.73,1,2076760.0000000002,1
4,4.58,96.66,3,3.28,3.69,46,2123620.0,2
8,1.42,201.8,6,2.66,1.41,15,4548760.0,5
2,0.57,129.01,4,0.72,2.16,38,3348860.0,3
3,7.78,40.65,1,3.44,3.96,37,801480.0,1
1,5.75,99.19,3,1.15,4.61,16,2094060.0,1
1,7.63,123.87,4,3.93,4.46,30,2600260.0,1
3,1.58,193.82,6,1.82,2.39,0,4894460.0,2
5,5.76,161.15,5,2.66,2.6,5,3601840.0,2
3,2.61,83.13,2,0.77,2.65,30,1912520.0,3
1,2.36,216.73,6,1.71,4.34,5,4804030.0,1
1,0.21,118.75,3,3.31,4.2,35,3076590.0,2
8,1.39,169.85,5,2.17,1.56,7,4359200.0,5
10,3.16,73.8,2,3.67,0.81,28,1693750.0,5
